Fecha,Total
2021-01-01,1787445
2021-02-01,2873356
2021-03-01,2019490
2021-04-01,1872752
2021-05-01,1641248
2021-06-01,2175501
2021-07-01,2183933
2021-08-01,2253517
2021-09-01,2260458
2021-10-01,2243823
2021-11-01,2503053
2021-12-01,2532638
2022-01-01,2245811
2022-02-01,2057239
2022-03-01,2272793
2022-04-01,2577245
2022-05-01,2374486
2022-06-01,2167602
2022-07-01,2320826
2022-08-01,2502281
2022-09-01,2350978
2022-10-01,2473665
2022-11-01,2552827
2022-12-01,2619740
2023-01-01,2426988
2023-02-01,2253880
2023-03-01,2578632
2023-04-01,2331948
2023-05-01,3146365
2023-06-01,2905346
2023-07-01,3039645
2023-08-01,3208838
2023-09-01,3053500
2023-10-01,3246904
2023-11-01,3326788
2023-12-01,3295645
2024-01-01,3135782
2024-02-01,2983973
2024-03-01,3138028
2024-04-01,3361609
2024-05-01,3499944
2024-06-01,2891370
2024-07-01,3924316
2024-08-01,3376290
