Fecha,Total
2021-01-01,3738357
2021-02-01,3316827
2021-03-01,3805262
2021-04-01,3699854
2021-05-01,4015143
2021-06-01,4024786
2021-07-01,4129456
2021-08-01,4268875
2021-09-01,4229236
2021-10-01,4371237
2021-11-01,4637802
2021-12-01,4967226
2022-01-01,4174303
2022-02-01,4060097
2022-03-01,4731214
2022-04-01,4499692
2022-05-01,4812428
2022-06-01,4424339
2022-07-01,4811920
2022-08-01,5169797
2022-09-01,4966401
2022-10-01,5089621
2022-11-01,5194894
2022-12-01,5550211
2023-01-01,4840535
2023-02-01,4677460
2023-03-01,5244320
2023-04-01,5056607
2023-05-01,5520425
2023-06-01,5318744
2023-07-01,5531360
2023-08-01,5548718
2023-09-01,5402759
2023-10-01,5615073
2023-11-01,5839498
2023-12-01,6178121
2024-01-01,5342424
2024-02-01,5364634
2024-03-01,5728350
2024-04-01,5693282
2024-05-01,5984094
2024-06-01,5739995
2024-07-01,6141165
2024-08-01,6045488
