Fecha,Total
2021-01-01,729896
2021-02-01,711797
2021-03-01,881119
2021-04-01,745364
2021-05-01,837142
2021-06-01,934314
2021-07-01,919508
2021-08-01,1009012
2021-09-01,976940
2021-10-01,952894
2021-11-01,1120094
2021-12-01,1103080
2022-01-01,965748
2022-02-01,884379
2022-03-01,1256575
2022-04-01,1105660
2022-05-01,1282610
2022-06-01,1170350
2022-07-01,1196294
2022-08-01,1386487
2022-09-01,1318521
2022-10-01,1337271
2022-11-01,1461166
2022-12-01,1454054
2023-01-01,1356911
2023-02-01,1105207
2023-03-01,1290275
2023-04-01,1142479
2023-05-01,1415674
2023-06-01,1306489
2023-07-01,1346625
2023-08-01,1497841
2023-09-01,1371612
2023-10-01,1517911
2023-11-01,1567779
2023-12-01,1492382
2024-01-01,1452310
2024-02-01,1368843
2024-03-01,1387882
2024-04-01,1617419
2024-05-01,1658974
2024-06-01,1442622
2024-07-01,1735609
2024-08-01,1595036
