Fecha,Total
2021-01-01,10228509
2021-02-01,11535568
2021-03-01,12123085
2021-04-01,11045675
2021-05-01,11614115
2021-06-01,12664405
2021-07-01,12632293
2021-08-01,13252874
2021-09-01,13063143
2021-10-01,13144877
2021-11-01,14565273
2021-12-01,14854425
2022-01-01,12953198
2022-02-01,12155624
2022-03-01,14743210
2022-04-01,13987191
2022-05-01,14948784
2022-06-01,13796394
2022-07-01,14478792
2022-08-01,15999459
2022-09-01,15262781
2022-10-01,15689955
2022-11-01,16413438
2022-12-01,16889544
2023-01-01,15480735
2023-02-01,14422994
2023-03-01,16193813
2023-04-01,14909238
2023-05-01,17317785
2023-06-01,16335205
2023-07-01,16886289
2023-08-01,17621861
2023-09-01,16675890
2023-10-01,17804690
2023-11-01,18331790
2023-12-01,18376047
2024-01-01,17022283
2024-02-01,16653495
2024-03-01,17297934
2024-04-01,18844222
2024-05-01,18809455
2024-06-01,17299736
2024-07-01,20113790
2024-08-01,18710862
